index:ID,actor,:LABEL
1370926,马库斯·约翰松,person
1337570,爱沃瑞·欧欣,person
1313428,佐佐木彩夏,person
1213426,金雷夏,person
1391968,朱利叶斯·梅特森·斯科特,person
1351921,塞缪尔·斯特雷肯,person
1361976,铃木木瓜,person
1019457,劳伦特·斯托克,person
1325754,乔安娜·普莱斯,person
1150778,克劳德·斯特劳德,person
1002961,布里吉特·米拉,person
1366852,李秀仁,person
1348521,夏尉喻,person
1037854,斋藤步,person
1079580,Eric Freeman,person
1451579,Valéry Lessard,person
1000337,西娅·吉尔,person
1027355,史文-欧尔·托尔森,person
1348475,多米尼克·普罗沃斯特-切克利,person
1322524,李响,person
1408234,珍娜·劳伦索,person
1397524,刘家祎,person
1000903,桑贾伊·萨里,person
1357568,李炳雷,person
1064206,凯茜·克拉克,person
1147683,Jean-Paul Savignac,person
1019224,阿尔·科利,person
1077700,迈克尔·卡纳万,person
1027380,威尔·萨姆森,person
1337119,玛丽娜·克雷尼尔娃,person
1419200,卡罗尔·法兰克,person
1417537,坂本洋子,person
1319856,斯宾塞·李斯特,person
1411928,阿拉·乔什涅,person
1418732,郑天龙,person
1073107,Virginia Carroll,person
1445920,安娜·特里欧,person
1401039,刘晨霞,person
1313654,汪远,person
1332429,岸辉子,person
1064432,蒂尼·博格斯,person
1037741,松尾铃木,person
1268640,马克·多尔蒂,person
1037189,斯特凡纳·弗雷斯,person
1354428,宋妍霏,person
1063973,玛丽·凯·伯格曼,person
1159334,Geoffrey Steele,person
1116512,黑莉·米勒,person
1107799,莉莉·卡恩,person
1374310,李璐兵,person
1009352,汉娜·穆雷,person
1354935,哈维·斯克林肖,person
1022738,娜塔莉·杰克逊·门多萨,person
1331010,苏珊娜·汉密尔顿,person
1398233,玛茜·简,person
1359978,雅尼克·许曼,person
1147375,Eamonn Roche,person
1341066,杰克·巴农,person
1014029,雷·沃纳尔,person
1407566,薛宝鹤,person
1365636,于思楚,person
1096225,德欧·哈顿,person
1032849,英格玛丽·卡尔松,person
1353294,娜娜·门沙,person
1340706,赵曼竹,person
1052932,并木史郎,person
1312390,鲍比·霍兰德·汉顿,person
1394805,杰克·里德福德,person
1041462,强尼·格林伍德,person
1427440,保罗·班迪,person
1340697,杰西卡·洛威,person
1140833,叶卡捷琳娜切特希尔卡诺娃,person
1383684,桑贾娜·桑吉,person
1375624,曼德拉·加杜卡,person
1311800,豪尔赫·A·希门尼斯,person
1281320,丽塔·科尔泰塞,person
1244315,罗茜·汉丁顿-惠特莉,person
1140515,怀亚特·罗素,person
1133115,杰米·内尔,person
1360397,清川荘司,person
1280593,郑家生,person
1032440,卡尔海因茨·伯姆,person
1101789,雅利·古柳奇,person
1027728,铃木杏树,person
1335896,艾莉森·迪安,person
1164953,罗伯特•维托,person
1353222,乔兰塔·乌梅卡,person
1007040,苏珊娜·普莱舍特,person
1115336,巴特弗莱·麦昆,person
1336001,Betsy Clark,person
1386922,曹恺,person
1449113,罗德莎·琼斯,person
1265783,苔伦特瑞尔,person
1317143,邵斯凡,person
1216605,瓦迪尔·德尔贝斯,person
1313113,查尔斯·科克,person
1000106,科尔·豪瑟,person
1192117,Tolga Safer,person
1041602,古纳尔·布约恩施特兰德,person
1348078,李·琼斯,person
1335771,洛诗,person
1316933,陈思佳,person
1362976,陶奕希,person
1365426,凯莉·盖尔,person
1374275,大卫·普克里奇,person
1207969,妮可·杰森,person
1338326,卢克·布雷西,person
1315645,张洪杰,person
1207195,Rick Yudt,person
1352856,哈莉·福特,person
1364842,张海宇,person
1361601,刘超,person
1107569,Milton Kibbee,person
1332657,朴赫权,person
1054436,克林特·伊斯特伍德,person
1359706,艾莉西亚·乔达诺,person
1383244,徐占青,person
1022858,大后寿寿花,person
1011665,林妙可,person
1147318,妮可·罗宾逊,person
1374619,李载求,person
1171156,伊利斯·莱韦斯克,person
1317085,王菲菲,person
